Date,Owner,Repository,Clones,Page Views,Unique Views,Stars,Forks,Watchers
2025-11-03T12:48:32.612Z,mongodb,sample-app-java-mflix,37,38,6,0,1,0
2025-11-17T13:54:57.757Z,mongodb,sample-app-java-mflix,104,237,43,0,1,0
2025-12-01T13:07:05.217Z,mongodb,sample-app-java-mflix,69,54,39,0,1,0
2025-12-15T08:00:17.760Z,mongodb,sample-app-java-mflix,77,89,22,0,1,0
2025-12-29T13:02:39.569Z,mongodb,sample-app-java-mflix,34,244,51,0,2,0
2026-01-12T13:45:47.904Z,mongodb,sample-app-java-mflix,43,244,48,1,2,1
2025-04-21T16:50:34.896Z,mongodb,atlas-architecture-go-sdk,299,47,2,0,1,0
2025-05-05T15:55:52.183Z,mongodb,atlas-architecture-go-sdk,258,120,4,0,2,0
2025-05-19T13:11:46.443Z,mongodb,atlas-architecture-go-sdk,215,27,2,0,2,0
2025-06-02T12:04:26.343Z,mongodb,atlas-architecture-go-sdk,214,31,3,0,2,0
2025-06-16T12:55:59.803Z,mongodb,atlas-architecture-go-sdk,184,4,4,0,2,0
2025-06-30T15:37:05.566Z,mongodb,atlas-architecture-go-sdk,218,16,4,1,2,1
2025-07-14T11:50:06.181Z,mongodb,atlas-architecture-go-sdk,132,18,3,1,2,1
2025-07-28T12:49:53.936Z,mongodb,atlas-architecture-go-sdk,205,10,4,1,2,1
2025-08-11T11:50:12.103Z,mongodb,atlas-architecture-go-sdk,198,7,2,1,2,1
2025-08-25T11:52:18.624Z,mongodb,atlas-architecture-go-sdk,120,26,3,1,2,1
2025-09-08T12:31:33.453Z,mongodb,atlas-architecture-go-sdk,35,23,10,1,2,1
2025-09-22T12:06:10.903Z,mongodb,atlas-architecture-go-sdk,53,29,4,1,2,1
2025-10-06T12:20:54.620Z,mongodb,atlas-architecture-go-sdk,60,0,0,1,2,1
2025-10-20T12:16:49.238Z,mongodb,atlas-architecture-go-sdk,28,38,3,1,2,1
2025-11-03T12:48:30.823Z,mongodb,atlas-architecture-go-sdk,38,5,3,1,2,1
2025-11-17T13:54:56.182Z,mongodb,atlas-architecture-go-sdk,95,1,1,1,2,1
2025-12-01T13:07:03.732Z,mongodb,atlas-architecture-go-sdk,46,18,2,1,2,1
2025-12-15T08:00:16.420Z,mongodb,atlas-architecture-go-sdk,33,18,4,1,2,1
2025-12-29T13:02:38.141Z,mongodb,atlas-architecture-go-sdk,30,7,3,1,2,1
2026-01-12T13:45:46.476Z,mongodb,atlas-architecture-go-sdk,49,14,3,1,2,1
2025-11-03T12:48:34.040Z,mongodb,sample-app-nodejs-mflix,41,34,8,0,1,0
2025-11-17T13:54:59.352Z,mongodb,sample-app-nodejs-mflix,100,631,271,0,2,0
2025-12-01T13:07:06.900Z,mongodb,sample-app-nodejs-mflix,64,721,315,0,3,0
2025-12-15T08:00:19.439Z,mongodb,sample-app-nodejs-mflix,68,331,149,0,3,0
2025-12-29T13:02:41.498Z,mongodb,sample-app-nodejs-mflix,30,1003,337,1,3,1
2026-01-12T13:45:49.735Z,mongodb,sample-app-nodejs-mflix,49,1005,344,2,3,2
2025-11-03T12:48:35.757Z,mongodb,sample-app-python-mflix,35,32,7,0,1,0
2025-11-17T13:55:01.483Z,mongodb,sample-app-python-mflix,89,186,81,0,1,0
2025-12-01T13:07:08.389Z,mongodb,sample-app-python-mflix,62,212,104,0,1,0
2025-12-15T08:00:20.790Z,mongodb,sample-app-python-mflix,86,112,40,0,1,0
2025-12-29T13:02:42.906Z,mongodb,sample-app-python-mflix,68,415,119,2,2,2
2026-01-12T13:45:51.259Z,mongodb,sample-app-python-mflix,72,238,89,2,2,2
2025-01-13T21:38:28.523Z,mongodb,docs-notebooks,4,183,4,1,2,1
2025-01-27T19:44:19.954Z,mongodb,docs-notebooks,17,844,126,6,3,6
2025-02-10T14:16:37.641Z,mongodb,docs-notebooks,15,288,113,7,3,7
2025-02-24T14:28:48.939Z,mongodb,docs-notebooks,20,997,334,9,5,9
2025-03-11T20:25:23.274Z,mongodb,docs-notebooks,16,488,149,10,5,10
2025-03-24T14:55:30.130Z,mongodb,docs-notebooks,37,851,310,15,7,15
2025-04-07T15:17:02.740Z,mongodb,docs-notebooks,138,622,229,17,7,17
2025-04-15T22:32:14.913Z,mongodb,docs-notebooks,291,851,309,18,9,18
2025-04-21T12:58:13.226Z,mongodb,docs-notebooks,316,898,308,19,9,19
2025-05-05T15:55:50.892Z,mongodb,docs-notebooks,242,600,210,21,9,21
2025-05-19T13:11:45.102Z,mongodb,docs-notebooks,229,770,201,21,12,21
2025-06-02T12:04:24.800Z,mongodb,docs-notebooks,215,443,148,24,13,24
2025-06-16T12:55:58.395Z,mongodb,docs-notebooks,212,493,164,25,15,25
2025-06-30T15:37:04.308Z,mongodb,docs-notebooks,237,423,151,27,15,27
2025-07-14T11:50:04.760Z,mongodb,docs-notebooks,109,363,136,27,15,27
2025-07-28T12:49:52.464Z,mongodb,docs-notebooks,199,400,146,27,15,27
2025-08-11T11:50:10.597Z,mongodb,docs-notebooks,172,467,153,28,15,28
2025-08-25T11:52:17.154Z,mongodb,docs-notebooks,114,341,110,30,15,30
2025-09-08T12:31:31.931Z,mongodb,docs-notebooks,47,447,133,30,17,30
2025-09-22T12:06:09.397Z,mongodb,docs-notebooks,134,567,169,31,18,31
2025-10-06T12:20:53.177Z,mongodb,docs-notebooks,46,401,130,31,18,31
2025-10-20T12:16:47.819Z,mongodb,docs-notebooks,38,318,122,32,18,32
2025-11-03T12:48:29.196Z,mongodb,docs-notebooks,65,376,122,32,19,32
2025-11-17T13:54:54.421Z,mongodb,docs-notebooks,61,344,130,35,19,35
2025-12-01T13:07:02.240Z,mongodb,docs-notebooks,62,325,111,36,19,36
2025-12-15T08:00:15.147Z,mongodb,docs-notebooks,45,312,117,36,19,36
2025-12-29T13:02:36.486Z,mongodb,docs-notebooks,37,275,113,36,19,36
2026-01-12T13:45:45.026Z,mongodb,docs-notebooks,37,223,119,37,19,37
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
